iter	Passed	Remaining
444	1207	1505
445	1209	1502
446	1212	1499
447	1214	1497
448	1217	1494
449	1220	1491
450	1222	1488
451	1225	1485
452	1228	1482
453	1230	1480
454	1233	1477
455	1236	1474
456	1239	1472
457	1242	1470
458	1245	1468
459	1248	1465
460	1251	1463
461	1254	1460
462	1257	1458
463	1260	1455
464	1266	1456
465	1272	1458
466	1274	1455
467	1278	1452
468	1280	1450
469	1284	1448
470	1286	1445
471	1289	1442
472	1292	1439
473	1294	1437
474	1297	1434
475	1302	1434
476	1305	1431
477	1308	1428
478	1310	1425
479	1313	1423
480	1320	1424
481	1323	1422
482	1326	1419
483	1329	1417
484	1332	1414
485	1334	1411
486	1337	1408
487	1340	1406
488	1343	1403
489	1347	1402
490	1349	1399
491	1352	1396
492	1356	1394
493	1359	1392
494	1366	1394
495	1370	1392
496	1372	1389
497	1375	1386
498	1378	1383
499	1380	1380
500	1383	1378
501	1387	1376
502	1390	1374
503	1406	1384
504	1410	1382
505	1413	1380
506	1418	1379
507	1421	1377
508	1425	1374
509	1428	1372
510	1432	1371
511	1436	1368
512	1438	1366
513	1441	1363
514	1444	1360
515	1447	1357
516	1450	1354
517	1452	1351
518	1455	1348
519	1457	1345
520	1460	1342
521	1463	1339
522	1465	1336
523	1468	1333
524	1470	1330
525	1473	1327
526	1475	1324
527	1478	1321
528	1481	1319
529	1485	1317
530	1488	1314
531	1491	1311
532	1493	1308
533	1496	1305
534	1499	1302
535	1501	1300
536	1504	1297
537	1507	1294
538	1510	1291
539	1512	1288
540	1515	1285
541	1517	1282
542	1520	1279
543	1522	1276
544	1525	1273
545	1528	1270
546	1530	1267
547	1533	1264
548	1535	1261
549	1538	1258
550	1541	1255
551	1543	1252
552	1546	1249
553	1548	1246
554	1551	1243
555	1554	1241
556	1556	1238
557	1559	1235
558	1561	1232
559	1564	1229
560	1567	1226
561	1569	1223
562	1572	1220
563	1575	1217
564	1577	1214
565	1580	1211
566	1583	1208
567	1585	1205
568	1588	1202
569	1590	1200
570	1593	1197
571	1596	1194
572	1598	1191
573	1601	1188
574	1604	1185
575	1607	1183
576	1610	1180
577	1612	1177
578	1615	1174
579	1617	1171
580	1620	1168
581	1623	1165
582	1625	1162
583	1628	1160
584	1631	1157
585	1634	1154
586	1637	1152
587	1640	1149
588	1643	1147
589	1646	1144
590	1650	1141
591	1653	1139
592	1655	1136
593	1658	1133
594	1660	1130
595	1663	1127
596	1672	1128
597	1674	1125
598	1676	1122
599	1679	1119
600	1681	1116
601	1687	1115
602	1689	1112
603	1692	1109
604	1694	1106
605	1697	1103
606	1700	1100
607	1702	1097
608	1705	1094
609	1707	1091
610	1710	1088
611	1712	1085
612	1715	1083
613	1718	1080
614	1722	1078
615	1725	1075
616	1727	1072
617	1730	1069
618	1733	1066
619	1736	1064
620	1738	1060
621	1740	1057
622	1748	1058
623	1751	1055
624	1753	1052
625	1756	1049
626	1759	1046
627	1762	1044
628	1769	1043
629	1772	1040
630	1776	1039
631	1779	1036
632	1782	1033
633	1784	1030
634	1787	1027
635	1789	1024
636	1791	1021
637	1795	1018
638	1797	1015
639	1800	1012
640	1802	1009
641	1805	1006
642	1807	1003
643	1810	1000
644	1812	997
645	1814	994
646	1817	991
647	1819	988
648	1822	985
649	1824	982
650	1827	979
651	1829	976
652	1832	973
653	1834	970
654	1837	967
655	1839	964
656	1842	961
657	1844	958
658	1847	955
659	1849	952
660	1852	949
661	1854	947
662	1857	944
