iter	Logloss
0	0.6805802175
1	0.6689079658
2	0.6576326754
3	0.6473443504
4	0.6370052988
5	0.6276214554
6	0.6192717726
7	0.6114253943
8	0.6028447644
9	0.5949750621
10	0.5882261279
11	0.5821924174
12	0.5747036969
13	0.5683163703
14	0.5617575513
15	0.555646008
16	0.5512777397
17	0.5452555647
18	0.5394147337
19	0.5342309607
20	0.5298522492
21	0.5252502303
22	0.5203871355
23	0.5165934649
24	0.5128436829
25	0.5085204791
26	0.5053074072
27	0.5015456095
28	0.4983181314
29	0.4946219053
30	0.4913579846
31	0.4875739349
32	0.4844908839
33	0.4821592157
34	0.479388728
35	0.476287146
36	0.4740005874
37	0.47126703
38	0.4683108088
39	0.4664856233
40	0.4643938909
41	0.4619709444
42	0.4593766015
43	0.4577152031
44	0.4550413731
45	0.4530789485
46	0.4511544237
47	0.449019006
48	0.4473578751
49	0.445557832
50	0.4440068727
51	0.4425857418
52	0.4411329587
53	0.4387063066
54	0.4371186166
55	0.4355892524
56	0.4338279842
57	0.432304744
58	0.4310161355
59	0.4297306687
60	0.4282862733
61	0.4267977546
62	0.4255534997
63	0.424410009
64	0.4231412915
65	0.4219290193
66	0.4208955298
67	0.4195082264
68	0.41847601
69	0.4169115849
70	0.4160833033
71	0.4146623119
72	0.4134505084
73	0.4126253415
74	0.4116818398
75	0.4106235131
76	0.4094068995
77	0.407798392
78	0.4066330074
79	0.4056974608
80	0.4047500492
81	0.4037543315
82	0.4028526477
83	0.4021069581
84	0.4011716038
85	0.4002451717
86	0.3993296937
87	0.3982573674
88	0.3973008004
89	0.396815854
90	0.396161087
91	0.3956705297
92	0.3948155827
93	0.3941028513
94	0.3932633251
95	0.3926342521
96	0.3916646937
97	0.3907895086
98	0.3898986745
99	0.3891311912
100	0.3883362098
101	0.3877673164
102	0.3870962039
103	0.386173225
104	0.3856023438
105	0.3851355488
106	0.3843346862
107	0.3834998143
108	0.3826090862
109	0.3819213445
110	0.3813057813
111	0.3806586166
112	0.3800260108
113	0.3792422246
114	0.3786349267
115	0.3782566368
116	0.3775472273
117	0.3767812402
118	0.3761749244
119	0.3753685655
120	0.3748516183
121	0.3743997338
122	0.3739223709
123	0.3734250592
124	0.372737417
125	0.3720306555
126	0.3715749539
127	0.3709564387
128	0.3705241225
129	0.3701369407
130	0.3696216472
131	0.3690249357
132	0.3681995899
133	0.3676717201
134	0.3671754927
135	0.3668952904
136	0.3663736377
137	0.3656772732
138	0.3653185652
139	0.3649006038
140	0.3640269263
141	0.3636796482
142	0.3631509293
143	0.3627379012
144	0.3619930417
145	0.3616967787
146	0.3611870176
147	0.3608086012
148	0.3600686366
149	0.3594152884
150	0.3590210016
151	0.3585754886
152	0.3580875209
153	0.357511365
154	0.3566871075
155	0.3563288972
156	0.355650983
157	0.3551999541
158	0.3547292747
159	0.3541597707
160	0.3535560604
161	0.3529030134
162	0.3521600789
163	0.3518883168
164	0.3514350196
165	0.3510982695
166	0.3507569533
167	0.3504191309
168	0.3500849404
169	0.3496027892
170	0.3491546274
171	0.3487267676
172	0.3483857219
173	0.3478855867
174	0.347529608
175	0.3472031955
176	0.3469518963
177	0.3466154474
178	0.3461132602
179	0.3455588905
180	0.345184661
181	0.344890229
182	0.3447449998
183	0.3444548757
184	0.3442062238
185	0.3435250101
186	0.3430770431
187	0.3426896992
188	0.3425052643
189	0.3419313378
190	0.3414486753
191	0.3412099893
192	0.3409005862
193	0.3404827702
194	0.3400955864
195	0.3397047729
196	0.33938228
197	0.3388265249
198	0.3385814305
199	0.3381897709
200	0.3378411078
201	0.3375313159
202	0.3369742986
203	0.3366821339
204	0.3364679475
205	0.3360756418
206	0.3356911964
207	0.3354015648
208	0.3350305735
209	0.3346386756
210	0.334163289
211	0.3338996429
212	0.3333874816
213	0.3330489005
214	0.3327975149
215	0.3323107272
216	0.332012057
217	0.3316620201
218	0.3314845476
219	0.3311657352
220	0.3306615746
221	0.3303297745
222	0.3298944422
223	0.3295700954
224	0.3292078513
225	0.3288301105
226	0.3284613272
227	0.3280851108
228	0.3279245502
229	0.3277251611
230	0.3274435688
231	0.3272076495
232	0.3268009241
233	0.3264920083
234	0.3259404447
235	0.3257532546
236	0.3254635007
237	0.3250937611
238	0.3247594729
239	0.324569348
240	0.3243148434
241	0.3239879901
242	0.3236280968
243	0.3234195897
244	0.3231154761
245	0.3230185166
246	0.3226542381
247	0.322327035
248	0.3221992028
249	0.3216949796
250	0.3213221156
251	0.3210117311
252	0.3207773234
253	0.3206389775
254	0.3203874993
255	0.3201601722
256	0.3199077203
257	0.3196374121
258	0.3192616899
259	0.3190346392
260	0.3188134557
261	0.318611314
262	0.3183500243
263	0.318120121
264	0.3178682868
265	0.3176829158
266	0.3173532
267	0.3171993139
268	0.3169452912
269	0.3167096755
270	0.3164930934
271	0.3160487908
272	0.3159117241
273	0.3156909807
274	0.3154427135
275	0.315121286
276	0.3148264829
277	0.3146439698
278	0.3145262032
279	0.3141888621
280	0.3141032807
281	0.3138461871
282	0.3136571722
283	0.3135792912
284	0.3133620398
285	0.3130748309
286	0.312637711
287	0.3123601214
288	0.3120241025
289	0.3118456701
290	0.3117082862
291	0.3113102148
292	0.3110513052
293	0.3108125799
294	0.3106823976
295	0.3104325806
296	0.3102137504
297	0.3100153216
298	0.3098143588
299	0.309622127
300	0.3092818681
301	0.3090796019
302	0.3088760781
303	0.3087126204
304	0.3085108329
305	0.3083768172
306	0.3083284265
307	0.3078912562
308	0.3075238417
309	0.3073374033
310	0.3071775849
311	0.3068453986
312	0.3067180773
313	0.3065236596
314	0.306258266
315	0.3061380398
316	0.3059495178
317	0.3057808187
318	0.3055629714
319	0.3053707033
320	0.3051988227
321	0.3049339965
322	0.3048336156
323	0.3046898934
324	0.3045771882
325	0.3044171059
326	0.3042907989
327	0.3041657807
328	0.3039845269
329	0.3037027134
330	0.3035412998
331	0.3033361097
332	0.3031856436
333	0.3030076401
334	0.3028168157
335	0.3024636426
336	0.3021676153
337	0.3019234289
338	0.3018224513
339	0.3016717592
340	0.3015249384
341	0.3013913968
342	0.3011418005
343	0.3006814573
344	0.3004034263
345	0.3001580623
346	0.3000635773
347	0.2999215486
348	0.2996855717
349	0.2993995795
350	0.2992348982
351	0.2990894889
352	0.2989602732
353	0.2987639778
354	0.298566744
355	0.2982965208
356	0.2981911688
357	0.2979785707
358	0.2976921703
359	0.2974170531
360	0.2971558467
361	0.2968621274
362	0.2966804546
363	0.2965156047
364	0.2963446276
365	0.2961615375
366	0.29591694
367	0.2957607319
368	0.2955948439
369	0.2953469231
370	0.2952092042
371	0.2950096111
372	0.2947471893
373	0.2945904021
374	0.2942757511
375	0.29405837
376	0.2938617441
377	0.2936893247
378	0.2934463831
379	0.2933046958
380	0.2930606183
381	0.292845547
382	0.2926990425
383	0.2926013923
384	0.2924455932
385	0.2922496475
386	0.29208528
387	0.2918896879
388	0.2917466992
389	0.2916440992
390	0.2913062007
391	0.2911245492
392	0.2908643128
393	0.2906509506
394	0.2905104447
395	0.2903324569
396	0.2901240499
397	0.2899987222
398	0.2897425313
399	0.2895906396
400	0.2893738695
401	0.2891538455
402	0.2890244947
403	0.2888758839
404	0.2887129415
405	0.288570856
406	0.2883453288
407	0.2881568081
408	0.2880271767
409	0.287862402
410	0.2877066946
411	0.287467812
412	0.28727684
413	0.287167134
414	0.2869682449
415	0.2867952798
416	0.2866797732
417	0.2864723483
418	0.2862281001
419	0.2861005141
420	0.2858814642
421	0.2856300024
422	0.2854629706
423	0.2853483348
424	0.2852363342
425	0.2850670462
426	0.2849120294
427	0.2847738856
428	0.2845231815
429	0.2843038016
430	0.2839968944
431	0.2838818971
432	0.2837051415
433	0.283529659
434	0.2833150748
435	0.2831962371
436	0.2830102398
437	0.2827925488
438	0.2826466908
439	0.2823980624
440	0.2821243225
441	0.2818711643
442	0.2816596787
443	0.2814543074
444	0.2812409423
445	0.2811607747
446	0.2810727305
447	0.2809053973
448	0.2807668087
449	0.2806516798
450	0.2805276453
451	0.2803125226
452	0.2801065484
453	0.2799518109
454	0.2797776657
455	0.2794807946
456	0.2792761542
457	0.2791961985
458	0.2790332928
459	0.2788947853
460	0.2787648372
461	0.2786055337
462	0.2784588413
463	0.278321437
464	0.2781725796
465	0.2780700602
466	0.2779487254
467	0.277768633
468	0.2775664939
469	0.2774167631
470	0.277252286
471	0.277116642
472	0.2770375606
473	0.2768098453
474	0.2766167845
475	0.276431909
476	0.2762949928
477	0.2761557135
478	0.2759111143
479	0.2757647354
480	0.2756148054
481	0.2754588512
482	0.2752756106
483	0.2750584093
484	0.2748451215
485	0.2746790605
486	0.2744096352
487	0.2742611178
488	0.2741193806
489	0.2739930429
490	0.2738111245
491	0.2736585395
492	0.2734776442
493	0.2733534102
494	0.2731291558
495	0.2729699777
496	0.2728250488
497	0.2726853565
498	0.2725211688
499	0.2723913063
500	0.2723067537
501	0.2721340259
502	0.2720297356
503	0.2718504498
504	0.2716644038
505	0.2715380465
506	0.2713202358
507	0.2712177613
508	0.2711278519
509	0.2709413595
